"FREQUENCY CHART
Reading Language Arts - Grade 6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5I,NT,Monitor comprehension and make adjustments. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6E,NT,"Interact with sources (notetaking, annotating, freewriting, or illustrating).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Make Predictions and Ask Questions While Reading,5B,NT,"Generate questions before, during, and after reading.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5C,S,Make a prediction.,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Make Connections and Create Mental Images While Reading,5D,NT,Create mental images while reading.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"5E, 6A","R, NT",Make a personal connection to the text.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5E,R,Determine the similarities between texts.,x,x,,,,x,x,,,,x,x,,,,x,x,,,,x,x,x,,,x,x,,,,x,x,x,x,,x,x,x,,,x,x,,,,x,x,x,,,x,x,,,
,,,,Determine the differences between texts.,x,x,,,,x,x,,,,x,x,,,,x,x,,,,x,,,,,x,x,,,,,,,,,x,,,,,x,x,,,,x,,,,,x,x,,,
,,,,Make a connection to society.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Use Resources, Context, and Word Parts to Determine Word Meanings ",2A,S,Use a dictionary entry to determine a word's meaning in context.,x,,,,,x,,,,,x,,,,,x,,,,,x,x,,,,x,,,,,x,x,,,,x,,,,,x,,,,,x,,,,,x,x,x,,
,,2B,R,Use the context to determine a word's meaning.,x,,,,,,,,,,x,x,,,,x,,,,,x,,,,,x,,,,,x,,,,,x,x,,,,x,x,x,x,x,x,x,,,,x,x,x,,
,,,,Select words from the text that help the reader understand a word's meaning.,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,x,,,,,,,,,x,,,,,,,,,
,,2C,S,Use Latin roots to determine a word's meaning.,,,,,,x,,,,,x,,,,,x,x,,,,x,,,,,x,,,,,x,,,,,x,,,,,,,,,,x,x,,,,,,,,
,,,,Identify a word that contains a Latin root.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Make Inferences and Use Evidence to Support Understanding,5F,R,"Make an inference about a character, narrator, or speaker based on text evidence.",,,,,,x,,,,,x,x,x,,,x,x,,,,x,x,x,,,x,x,x,x,,,,,,,x,x,x,,,x,x,,,,x,x,,,,x,x,x,x,x
,,,,Make an inference about an idea or event based on text evidence.,x,,,,,x,,,,,,,,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
,,,,Make an inference about the cause or reason why based on text evidence.,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,x,x,,,,,,,,,x,,,,,,,,,,,,,,
,,,,Make an inference about the author's purpose.,,,,,,,,,,,,,,,,x,x,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,
,,,,Draw a conclusion based on text evidence.,,,,,,,,,,,,,,,,x,x,,,,,,,,,x,x,,,,,,,,,x,,,,,x,,,,,,,,,,x,,,,
,,,,Make a generalization based on text evidence.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
,,6C,R,Use text evidence to support an idea or inference.,,,,,,x,x,,,,x,x,x,,,x,x,x,,,x,x,x,x,x,x,,,,,x,x,,,,x,x,x,x,,x,x,x,,,x,x,,,,x,x,,,
6,Determine Key Ideas and Details,5G,R,Determine a key idea in the text.,x,,,,,x,,,,,x,x,,,,,,,,,x,x,,,,x,x,,,,,,,,,x,,,,,x,,,,,x,x,,,,,,,,
,,,,Select the details that support a key idea.,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,
,,,,Recall important details from the text.,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,x,x,x,,,x,,,,,,,,,,x,,,,,x,x,x,,
7,Writing Complete Sentences Using Independent Clauses,10Di,R,Edit for complete sentences.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Edit for subject-verb agreement.,x,,,,,x,,,,,,,,,,x,,,,,x,,,,,x,,,,,x,x,,,,x,,,,,x,,,,,x,,,,,x,,,,
8,"Close Reading: Read, Discuss, and Respond to Texts",Unit TEKS,,Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Respond in Writing to Questions About Texts,6B,R,Write a response that demonstrates an understanding of the text.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6C,R,Use text evidence to support an appropriate response.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6F,NT,Respond using newly acquired vocabulary as appropriate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6G,NT,Discuss and write about the explicit or implicit meanings of text.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6H,NT,"Respond using appropriate vocabulary, tone, and voice.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6I,NT,Reflect on and adjust responses as new evidence is presented.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10C,R,Revise a draft. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10D,S,Edit a draft using standard English conventions. ,x,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,x,x,,,,,,,,
7th Grade Writing Passages: Use for Writing Questions from 2013-2021.,,,,,,,,,,,,,,,,,,,,2021,,,,,2019,,,,,2018,,,,,2017,,,,,2016,,,,,2015,,,,,2014,,,,,2013,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, R = Readiness Standard            S = Supporting Standard                NT = Not Tested                         ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,White Cells = Reporting Category 1: Reading,,,,,,Gray Cells = Reporting Category 2: Writing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day,Topic,TEKS,R/S/NT,Skill,2024,,,,,2023,,,,,2022,,,,,2021,,,,,2019,,,,,2018,,,,,2017,,,,,2016,,,,,2015,,,,,2014,,,,,2013,,,,
1,Introduction to Fiction: Genre Characteristics,8A,S,Identify the distinguishing characteristics of fictional texts.,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Make Inferences About Characters Using Text Evidence,5C,S,Make a prediction.,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5F,R,Make an inference about a character based on text evidence.,,,,,,x,,,,,,,,,,,,,,,,,,,,x,x,,,,x,,,,,x,,,,,x,x,,,,x,x,,,,x,x,x,x,
,,,,Make an inference about the cause or reason why based on text evidence.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,
,,6C,R,Use text evidence to support an idea or inference.,,,,,,x,,,,,x,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,x,,,,,x,,,,,,,,,
3,Analyze the Characters’ Internal and External Responses,7B,R,Analyze how the characters' actions or responses develop the plot.,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,x,,,,,,,,,,x,,,,,,,,,
4,Writing Compound Sentences with Coordinating Conjunctions,10Di,R,Determine the correct way to combine sentences to form a compound sentence.,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Edit for correct use of semicolons in compound sentences. ,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,
5,Analyze Linear Plot Elements,7C,R,Determine how the events in the paragraph(s) contribute to the plot.,,,,,,x,,,,,x,,,,,x,x,,,,x,,,,,,,,,,,,,,,x,x,,,,x,,,,,,,,,,x,,,,
,,,,Identify the main conflict in the plot.,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
,,,,Describe the events in the plot.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,x,,,,x,,,,
6,Analyze Non-Linear Plot Elements: Flashback,7C,R,Analyze non-linear plot elements such as flashback.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Paraphrase and Summarize Fictional Texts,6D,R,Summarize the story.,,,,,,x,,,,,x,,,,,x,,,,,x,,,,,x,,,,,x,,,,,x,,,,,x,,,,,,,,,,x,,,,
8,Writing Complex Sentences with Subordinating Conjunctions,10Di,R,Determine the correct way to combine two sentences to form a complex sentence.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
,,10Dvi,S,Select an appropriate subordinating conjunction. ,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10Dviii,S,Edit for correct use of commas in complex sentences. ,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,x,,,,
9,Analyze How the Setting Influences the Characters and Plot ,7D,S,Analyze how the setting influences the characters and plot. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Infer Themes Using Text Evidence,7A,S,Infer the theme of the story. ,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Select a sentence from the story that expresses its theme. ,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Explain the Author’s Purpose and Message,9A,R,Determine a message the author conveys in the story. ,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
12,Writing: Avoid Incorrect Sentence Structures,10Di,R,"Write sentences correctly, avoiding comma splices, run-ons, and fragments.",x,,,,,x,x,,,,,,,,,x,x,x,,,x,x,x,,,x,x,x,x,,x,x,,,,x,x,,,,x,x,x,x,x,x,x,x,x,,x,x,,,
,,,,Use a semicolon to fix a comma splice or run-on sentence.,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,
13,Identify the Author’s Use of Point of View,9E,S,Explain what the reader understands because of the author's use of point of view. ,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,x,,,,,x,,,,,x,,,,,,,,,,x,,,,
14,Describe the Author’s Use of Figurative Language,9D,S,Explain how the author's use of figurative language contributes to the story. ,,,,,,x,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,x,x,,,,,,,,
,,,,Explain how the author's use of personification contributes to the story. ,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Explain how the author's use of simile contributes to the story. ,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,
,,,,Explain how the author's use of imagery contributes to the story. ,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
15,Analyze How the Use of Language Contributes to Mood and Voice,9F,S,Determine which sentence conveys a certain mood. ,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Explain how the author's use of language contributes to the mood.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Writing: Correlative Conjunctions,10Dvi,S,Edit for the correct use of correlative conjunctions such as either/or and neither/nor. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Close Reading: Read, Discuss, and Respond to Fictional Texts",Unit TEKS,,Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Writing Extended Responses to Texts: Planning and Drafting,6B,R,Write a response that demonstrates an understanding of the text.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6C,R,Use text evidence to support an appropriate response.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6F,NT,Respond using newly acquired vocabulary as appropriate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6G,NT,Discuss and write about the explicit or implicit meanings of text.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6H,NT,"Respond using appropriate vocabulary, tone, and voice.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6I,NT,Reflect on and adjust responses as new evidence is presented.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10A,NT,Plan a first draft. ,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10B,R,Write a first draft. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11B,R,Compose an informational text. ,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Writing: Revising to Add or Delete Ideas, Editing, and Publishing",10B,R,Develop a draft into a structured piece of writing. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10Bi,R,Determine the best place to insert a sentence. ,,,,,,,,,,,,,,,,x,,,,,x,,,,,x,,,,,x,,,,,,,,,,x,,,,,,,,,,x,x,,,
,,10Bii,R,Revise to add supporting details. ,x,,,,,x,,,,,,,,,,x,x,,,,x,,,,,x,x,,,,x,,,,,x,,,,,x,x,,,,x,x,,,,x,x,,,
,,,,Revise to delete extraneous details and repetitive ideas. ,x,,,,,x,x,,,,,,,,,x,,,,,x,,,,,,,,,,x,,,,,x,x,,,,,,,,,,,,,,x,,,,
,,10C,R,Revise a draft. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10D,S,Edit a draft using standard English conventions. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10E,NT,Publish writing for an appropriate audience. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11B,R,Compose an informational text. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7th Grade Writing Passages: Use for Writing Questions from 2013-2021.,,,,,,,,,,,,,,,,,,,,2021,,,,,2019,,,,,2018,,,,,2017,,,,,2016,,,,,2015,,,,,2014,,,,,2013,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, R = Readiness Standard            S = Supporting Standard                NT = Not Tested                         ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,White Cells = Reporting Category 1: Reading,,,,,,Gray Cells = Reporting Category 2: Writing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITERARY NONFICTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day,Topic,TEKS,R/S/NT,Skill,2024,,,,,2023,,,,,2022,,,,,2021,,,,,2019,,,,,2018,,,,,2017,,,,,2016,,,,,2015,,,,,2014,,,,,2013,,,,
1,Introduction to Literary Nonfiction: Genre Characteristics,8A,S,Identify the distinguishing characteristics of literary nonfiction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Make Inferences About Characters Using Text Evidence,"5F, 7B",R,Make an inference about a character based on text evidence.,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,x,x,,,x,x,,,,,,,,,x,x,x,,
,,,,Make an inference about the cause or reason why based on text evidence.,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6C,R,Use text evidence to support an idea or inference.,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
3,Analyze Plot Elements and the Influence of Setting,7C,R,Describe the events in the plot.,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7D,S,Analyze how the setting influences the characters and plot. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Explain the Author’s Purpose and Message,"7A, 9A","S, R",Determine a message or theme the author conveys in the selection.,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,x,,,,
,,9A,R,Explain why the author includes a certain paragraph or detail.,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,x,,,,x,,,,,,,,,,x,,,,
5,Analyze the Author’s Use of Language and Literary Devices,9D,S,Explain how the author's use of language contributes to the selection.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,x,,,,
,,9E,S,Explain what the reader understands because of the author's use of point of view. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9F,S,Explain how the author's use of language contributes to the mood or voice. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Paraphrase and Summarize Literary Nonfiction,6D,R,Summarize the selection.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
7,Writing: Conjunctive Adverbs ,10Diii,S,Edit for correct use of conjunctive adverbs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Close Reading: Read, Discuss, and Respond to Literary Nonfiction",Unit TEKS,,Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Writing Literary Texts: Planning and Drafting,10A,NT,Plan a first draft. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10B,R,Write a first draft. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11A,NT,Compose a literary text (personal narrative). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Writing: Revising to Add Details, Editing, and Publishing",10B,R,Develop a draft into a structured piece of writing. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10Bi,R,Determine the best place to insert a sentence. ,,,,,,,,,,,,,,,,x,,,,,x,,,,,x,,,,,x,,,,,,,,,,x,,,,,,,,,,x,x,,,
,,10Bii,R,Revise to add supporting details. ,x,,,,,x,,,,,,,,,,x,x,,,,x,,,,,x,x,,,,x,,,,,x,,,,,x,x,,,,x,x,,,,x,x,,,
,,,,Revise to delete extraneous details and repetitive ideas. ,x,,,,,x,x,,,,,,,,,x,,,,,x,,,,,,,,,,x,,,,,x,x,,,,,,,,,,,,,,x,,,,
,,10C,R,Revise a draft. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10D,S,Edit a draft using standard English conventions. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10E,NT,Publish writing for an appropriate audience. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11A,NT,Compose a literary text (personal narrative). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7th Grade Writing Passages: Use for Writing Questions from 2013-2021.,,,,,,,,,,,,,,,,,,,,2021,,,,,2019,,,,,2018,,,,,2017,,,,,2016,,,,,2015,,,,,2014,,,,,2013,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, R = Readiness Standard            S = Supporting Standard                NT = Not Tested                         ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,White Cells = Reporting Category 1: Reading,,,,,,Gray Cells = Reporting Category 2: Writing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFORMATIONAL TEXTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day,Topic,TEKS,R/S/NT,Skill,2024,,,,,2023,,,,,2022,,,,,2021,,,,,2019,,,,,2018,,,,,2017,,,,,2016,,,,,2015,,,,,2014,,,,,2013,,,,
1,Introduction to Informational Texts: Genre Characteristics,8D,R,Identify the distinguishing characteristics of informational texts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Determine Key Ideas and the Controlling Idea/Thesis,5G,R,Determine a key idea in the text.,x,,,,,x,,,,,x,x,,,,,,,,,x,x,,,,x,x,,,,,,,,,x,,,,,x,,,,,x,x,,,,,,,,
,,8Di,R,Identify the controlling idea/thesis of the selection.,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Determine the Evidence That Supports the Controlling Idea/Thesis,5G,R,Select the details that support a key idea.,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,
,,,,Recall important details from the text.,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,x,x,x,,,x,,,,,,,,,,x,,,,,x,x,x,,
